Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-01-13 1:52 AM,64 F,52 F,65 %,WSW,8 mph,0 mph,30.18 in,0.0 in,Cloudy
2017-01-13 2:52 AM,59 F,51 F,75 %,S,6 mph,0 mph,30.21 in,0.0 in,Cloudy
2017-01-13 3:52 AM,59 F,51 F,75 %,S,9 mph,0 mph,30.22 in,0.0 in,Cloudy
2017-01-13 4:52 AM,55 F,50 F,83 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Cloudy
2017-01-13 5:52 AM,57 F,52 F,83 %,W,3 mph,0 mph,30.26 in,0.0 in,Mostly Cloudy
2017-01-13 6:52 AM,59 F,48 F,67 %,NNW,16 mph,0 mph,30.31 in,0.0 in,Mostly Cloudy
2017-01-13 7:52 AM,58 F,44 F,60 %,NNW,14 mph,0 mph,30.35 in,0.0 in,Cloudy
2017-01-13 8:52 AM,54 F,42 F,64 %,NNW,20 mph,0 mph,30.39 in,0.0 in,Cloudy
2017-01-13 9:52 AM,52 F,39 F,61 %,NNW,15 mph,0 mph,30.43 in,0.0 in,Mostly Cloudy
2017-01-13 10:52 AM,51 F,36 F,56 %,NNW,22 mph,28 mph,30.48 in,0.0 in,Cloudy / Windy
2017-01-13 11:52 AM,52 F,35 F,53 %,NNW,17 mph,0 mph,30.49 in,0.0 in,Cloudy
2017-01-13 12:52 PM,53 F,31 F,43 %,NNW,16 mph,23 mph,30.49 in,0.0 in,Mostly Cloudy
2017-01-13 1:52 PM,52 F,31 F,45 %,NNW,10 mph,0 mph,30.47 in,0.0 in,Mostly Cloudy
2017-01-13 2:52 PM,53 F,29 F,40 %,NNW,10 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
2017-01-13 3:52 PM,53 F,29 F,40 %,NW,14 mph,0 mph,30.49 in,0.0 in,Cloudy
2017-01-13 4:52 PM,54 F,28 F,37 %,NNW,12 mph,0 mph,30.52 in,0.0 in,Mostly Cloudy
2017-01-13 5:52 PM,50 F,26 F,39 %,N,17 mph,0 mph,30.56 in,0.0 in,Cloudy
2017-01-13 6:52 PM,49 F,24 F,38 %,N,14 mph,0 mph,30.57 in,0.0 in,Cloudy
2017-01-13 7:52 PM,47 F,24 F,41 %,N,15 mph,0 mph,30.60 in,0.0 in,Cloudy
2017-01-13 8:52 PM,46 F,25 F,44 %,NNE,15 mph,0 mph,30.62 in,0.0 in,Cloudy
2017-01-13 9:52 PM,45 F,24 F,44 %,NNE,10 mph,0 mph,30.63 in,0.0 in,Cloudy
2017-01-13 10:52 PM,44 F,22 F,42 %,NNE,10 mph,0 mph,30.65 in,0.0 in,Cloudy
2017-01-13 11:52 PM,44 F,22 F,42 %,NNE,15 mph,0 mph,30.67 in,0.0 in,Cloudy
2017-01-13 12:52 AM,43 F,23 F,45 %,NE,12 mph,0 mph,30.66 in,0.0 in,Cloudy
