Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2015-05-07 12:52 AM,67 F,54 F,63 %,E,3 mph,0 mph,30.18 in,0.0 in,Mostly Cloudy
2015-05-07 1:52 AM,66 F,55 F,68 %,ENE,6 mph,0 mph,30.17 in,0.0 in,Partly Cloudy
2015-05-07 2:52 AM,65 F,54 F,68 %,ENE,5 mph,0 mph,30.17 in,0.0 in,Mostly Cloudy
2015-05-07 3:52 AM,64 F,54 F,70 %,NE,7 mph,0 mph,30.16 in,0.0 in,Partly Cloudy
2015-05-07 4:52 AM,63 F,53 F,70 %,ENE,5 mph,0 mph,30.16 in,0.0 in,Partly Cloudy
2015-05-07 5:52 AM,63 F,53 F,70 %,ENE,8 mph,0 mph,30.16 in,0.0 in,Fair
2015-05-07 6:52 AM,62 F,53 F,72 %,ENE,7 mph,0 mph,30.18 in,0.0 in,Partly Cloudy
2015-05-07 7:52 AM,64 F,54 F,70 %,ENE,3 mph,0 mph,30.19 in,0.0 in,Partly Cloudy
2015-05-07 8:52 AM,66 F,55 F,68 %,VAR,3 mph,0 mph,30.20 in,0.0 in,Partly Cloudy
2015-05-07 9:52 AM,70 F,56 F,61 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Partly Cloudy
2015-05-07 10:52 AM,73 F,57 F,57 %,CALM,0 mph,0 mph,30.21 in,0.0 in,Partly Cloudy
2015-05-07 11:52 AM,75 F,58 F,55 %,CALM,0 mph,0 mph,30.20 in,0.0 in,Partly Cloudy
2015-05-07 12:52 PM,77 F,60 F,56 %,SSE,5 mph,0 mph,30.18 in,0.0 in,Partly Cloudy
2015-05-07 1:52 PM,79 F,62 F,56 %,S,7 mph,0 mph,30.16 in,0.0 in,Partly Cloudy
2015-05-07 2:52 PM,80 F,62 F,54 %,S,7 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2015-05-07 3:52 PM,80 F,63 F,56 %,SSE,8 mph,0 mph,30.11 in,0.0 in,Mostly Cloudy
2015-05-07 4:52 PM,80 F,62 F,54 %,S,6 mph,0 mph,30.10 in,0.0 in,Mostly Cloudy
2015-05-07 5:52 PM,79 F,63 F,58 %,S,9 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy
2015-05-07 6:52 PM,78 F,60 F,54 %,S,8 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy
2015-05-07 7:52 PM,76 F,61 F,60 %,S,6 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy
2015-05-07 8:52 PM,74 F,60 F,62 %,SSE,7 mph,0 mph,30.10 in,0.0 in,Mostly Cloudy
2015-05-07 9:52 PM,73 F,59 F,61 %,S,8 mph,0 mph,30.11 in,0.0 in,Mostly Cloudy
2015-05-07 10:52 PM,70 F,58 F,65 %,S,7 mph,0 mph,30.11 in,0.0 in,Fair
2015-05-07 11:52 PM,69 F,59 F,70 %,S,7 mph,0 mph,30.11 in,0.0 in,Fair
