Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2015-02-28 1:52 AM,24 F,3 F,40 %,N,9 mph,0 mph,30.69 in,0.0 in,Partly Cloudy
2015-02-28 2:52 AM,23 F,4 F,44 %,N,7 mph,0 mph,30.70 in,0.0 in,Mostly Cloudy
2015-02-28 3:52 AM,22 F,3 F,44 %,N,9 mph,0 mph,30.71 in,0.0 in,Mostly Cloudy
2015-02-28 4:52 AM,22 F,4 F,46 %,N,7 mph,0 mph,30.73 in,0.0 in,Partly Cloudy
2015-02-28 5:52 AM,21 F,3 F,46 %,N,7 mph,0 mph,30.76 in,0.0 in,Partly Cloudy
2015-02-28 6:52 AM,20 F,2 F,46 %,N,8 mph,0 mph,30.79 in,0.0 in,Fair
2015-02-28 7:52 AM,20 F,3 F,48 %,N,7 mph,0 mph,30.80 in,0.0 in,Partly Cloudy
2015-02-28 8:52 AM,22 F,0 F,38 %,NNE,8 mph,0 mph,30.83 in,0.0 in,Mostly Cloudy
2015-02-28 9:52 AM,23 F,0 F,37 %,N,9 mph,0 mph,30.85 in,0.0 in,Mostly Cloudy
2015-02-28 10:52 AM,25 F,-1 F,33 %,CALM,0 mph,0 mph,30.86 in,0.0 in,Mostly Cloudy
2015-02-28 11:52 AM,26 F,1 F,34 %,ENE,3 mph,0 mph,30.86 in,0.0 in,Mostly Cloudy
2015-02-28 12:52 PM,28 F,3 F,34 %,ENE,5 mph,0 mph,30.84 in,0.0 in,Mostly Cloudy
2015-02-28 1:52 PM,30 F,5 F,35 %,ENE,3 mph,0 mph,30.81 in,0.0 in,Mostly Cloudy
2015-02-28 2:52 PM,29 F,1 F,30 %,ESE,3 mph,0 mph,30.78 in,0.0 in,Mostly Cloudy
2015-02-28 3:52 PM,31 F,2 F,29 %,SSE,3 mph,0 mph,30.76 in,0.0 in,Mostly Cloudy
2015-02-28 4:52 PM,32 F,4 F,31 %,SE,3 mph,0 mph,30.75 in,0.0 in,Partly Cloudy
2015-02-28 5:52 PM,32 F,7 F,35 %,ESE,3 mph,0 mph,30.75 in,0.0 in,Fair
2015-02-28 6:52 PM,30 F,4 F,33 %,S,3 mph,0 mph,30.75 in,0.0 in,Fair
2015-02-28 7:52 PM,31 F,9 F,40 %,S,3 mph,0 mph,30.75 in,0.0 in,Partly Cloudy
2015-02-28 8:52 PM,28 F,10 F,47 %,SE,6 mph,0 mph,30.76 in,0.0 in,Fair
2015-02-28 9:52 PM,27 F,8 F,45 %,CALM,0 mph,0 mph,30.77 in,0.0 in,Fair
2015-02-28 10:52 PM,26 F,10 F,51 %,SE,3 mph,0 mph,30.77 in,0.0 in,Fair
2015-02-28 11:52 PM,25 F,9 F,51 %,SSE,5 mph,0 mph,30.75 in,0.0 in,Fair
2015-02-28 12:52 AM,25 F,10 F,53 %,SE,5 mph,0 mph,30.73 in,0.0 in,Partly Cloudy
