Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2015-11-23 1:52 AM,36 F,20 F,52 %,NNW,12 mph,0 mph,30.06 in,0.0 in,Fair
2015-11-23 2:52 AM,35 F,19 F,52 %,NNW,14 mph,0 mph,30.07 in,0.0 in,Fair
2015-11-23 3:52 AM,34 F,18 F,52 %,NNW,12 mph,0 mph,30.09 in,0.0 in,Fair
2015-11-23 4:52 AM,33 F,17 F,52 %,NW,10 mph,0 mph,30.09 in,0.0 in,Fair
2015-11-23 5:52 AM,33 F,17 F,52 %,NW,15 mph,0 mph,30.10 in,0.0 in,Fair
2015-11-23 6:52 AM,33 F,16 F,50 %,NW,12 mph,0 mph,30.12 in,0.0 in,Fair
2015-11-23 7:52 AM,32 F,16 F,52 %,NW,15 mph,0 mph,30.15 in,0.0 in,Fair
2015-11-23 8:52 AM,33 F,17 F,52 %,NW,13 mph,0 mph,30.18 in,0.0 in,Fair
2015-11-23 9:52 AM,35 F,18 F,50 %,NW,16 mph,21 mph,30.20 in,0.0 in,Fair
2015-11-23 10:52 AM,37 F,18 F,46 %,NW,15 mph,21 mph,30.21 in,0.0 in,Fair
2015-11-23 11:52 AM,39 F,16 F,39 %,NW,16 mph,24 mph,30.20 in,0.0 in,Fair
2015-11-23 12:52 PM,41 F,15 F,35 %,NNW,16 mph,26 mph,30.18 in,0.0 in,Partly Cloudy
2015-11-23 1:52 PM,42 F,16 F,35 %,WNW,12 mph,22 mph,30.16 in,0.0 in,Fair
2015-11-23 2:52 PM,42 F,15 F,34 %,NW,16 mph,22 mph,30.16 in,0.0 in,Fair
2015-11-23 3:52 PM,42 F,16 F,35 %,NNW,14 mph,23 mph,30.16 in,0.0 in,Fair
2015-11-23 4:52 PM,42 F,17 F,37 %,NW,12 mph,0 mph,30.18 in,0.0 in,Fair
2015-11-23 5:52 PM,40 F,16 F,38 %,WNW,8 mph,0 mph,30.19 in,0.0 in,Fair
2015-11-23 6:52 PM,39 F,16 F,39 %,WNW,5 mph,0 mph,30.21 in,0.0 in,Fair
2015-11-23 7:52 PM,38 F,18 F,44 %,SW,5 mph,0 mph,30.23 in,0.0 in,Fair
2015-11-23 8:52 PM,37 F,18 F,46 %,SSW,6 mph,0 mph,30.24 in,0.0 in,Fair
2015-11-23 9:52 PM,37 F,20 F,50 %,SW,5 mph,0 mph,30.26 in,0.0 in,Fair
2015-11-23 10:52 PM,36 F,21 F,55 %,SSW,5 mph,0 mph,30.28 in,0.0 in,Cloudy
2015-11-23 11:52 PM,36 F,24 F,62 %,SSW,6 mph,0 mph,30.28 in,0.0 in,Cloudy
2015-11-23 12:52 AM,37 F,26 F,65 %,SSW,6 mph,0 mph,30.28 in,0.0 in,Mostly Cloudy
