Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-11-11 1:52 AM,31 F,12 F,46 %,N,15 mph,0 mph,30.56 in,0.0 in,Fair
2017-11-11 2:52 AM,30 F,10 F,43 %,NNE,18 mph,0 mph,30.56 in,0.0 in,Fair
2017-11-11 3:52 AM,29 F,7 F,40 %,NNE,13 mph,0 mph,30.58 in,0.0 in,Partly Cloudy
2017-11-11 4:52 AM,28 F,9 F,45 %,N,14 mph,0 mph,30.58 in,0.0 in,Fair
2017-11-11 5:52 AM,27 F,9 F,47 %,N,16 mph,20 mph,30.60 in,0.0 in,Cloudy
2017-11-11 6:52 AM,26 F,8 F,47 %,N,13 mph,0 mph,30.61 in,0.0 in,Cloudy
2017-11-11 7:52 AM,26 F,9 F,49 %,N,9 mph,0 mph,30.61 in,0.0 in,Cloudy
2017-11-11 8:52 AM,28 F,8 F,43 %,NNW,10 mph,0 mph,30.63 in,0.0 in,Mostly Cloudy
2017-11-11 9:52 AM,30 F,9 F,41 %,NNE,9 mph,0 mph,30.63 in,0.0 in,Mostly Cloudy
2017-11-11 10:52 AM,32 F,10 F,40 %,NNE,3 mph,0 mph,30.63 in,0.0 in,Partly Cloudy
2017-11-11 11:52 AM,34 F,10 F,37 %,CALM,0 mph,0 mph,30.63 in,0.0 in,Mostly Cloudy
2017-11-11 12:52 PM,35 F,11 F,37 %,E,5 mph,0 mph,30.58 in,0.0 in,Mostly Cloudy
2017-11-11 1:52 PM,38 F,11 F,33 %,VAR,5 mph,0 mph,30.55 in,0.0 in,Fair
2017-11-11 2:52 PM,38 F,11 F,33 %,E,3 mph,0 mph,30.52 in,0.0 in,Cloudy
2017-11-11 3:52 PM,38 F,12 F,35 %,SSE,3 mph,0 mph,30.51 in,0.0 in,Cloudy
2017-11-11 4:12 PM,38 F,12 F,35 %,SSE,3 mph,0 mph,30.51 in,0.0 in,Cloudy
2017-11-11 4:52 PM,38 F,13 F,36 %,S,3 mph,0 mph,30.53 in,0.0 in,Cloudy
2017-11-11 5:52 PM,37 F,14 F,39 %,SSE,7 mph,0 mph,30.52 in,0.0 in,Cloudy
2017-11-11 6:52 PM,36 F,10 F,34 %,SSE,5 mph,0 mph,30.52 in,0.0 in,Cloudy
2017-11-11 7:52 PM,36 F,13 F,39 %,SE,6 mph,0 mph,30.51 in,0.0 in,Cloudy
2017-11-11 8:52 PM,36 F,15 F,43 %,SSE,7 mph,0 mph,30.52 in,0.0 in,Cloudy
2017-11-11 9:52 PM,35 F,18 F,50 %,SE,6 mph,0 mph,30.52 in,0.0 in,Cloudy
2017-11-11 10:52 PM,35 F,19 F,52 %,S,3 mph,0 mph,30.52 in,0.0 in,Mostly Cloudy
2017-11-11 11:52 PM,34 F,21 F,59 %,CALM,0 mph,0 mph,30.50 in,0.0 in,Cloudy
2017-11-11 12:52 AM,33 F,23 F,66 %,CALM,0 mph,0 mph,30.49 in,0.0 in,Cloudy
