Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2014-06-09 12:52 AM,72 F,66 F,81 %,S,3 mph,0 mph,29.86 in,0.1 in,Rain
2014-06-09 1:52 AM,71 F,66 F,84 %,WSW,3 mph,0 mph,29.85 in,0.1 in,Light Rain
2014-06-09 2:52 AM,71 F,66 F,84 %,WSW,3 mph,0 mph,29.84 in,0.1 in,Haze
2014-06-09 3:52 AM,72 F,67 F,84 %,SSW,9 mph,0 mph,29.83 in,0.0 in,Light Rain
2014-06-09 4:52 AM,72 F,66 F,81 %,SSW,9 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy
2014-06-09 5:52 AM,71 F,66 F,84 %,SSW,7 mph,0 mph,29.84 in,0.0 in,Mostly Cloudy
2014-06-09 6:52 AM,72 F,66 F,81 %,SSW,5 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2014-06-09 7:52 AM,73 F,66 F,79 %,SSW,8 mph,0 mph,29.87 in,0.0 in,Cloudy
2014-06-09 8:52 AM,75 F,67 F,76 %,SSW,6 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2014-06-09 9:52 AM,76 F,67 F,74 %,S,7 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
2014-06-09 10:52 AM,79 F,68 F,69 %,SSE,6 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
2014-06-09 11:52 AM,80 F,67 F,64 %,S,5 mph,0 mph,29.88 in,0.0 in,Mostly Cloudy
2014-06-09 12:52 PM,83 F,67 F,58 %,VAR,5 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2014-06-09 1:52 PM,84 F,69 F,61 %,S,9 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2014-06-09 2:52 PM,84 F,69 F,61 %,S,10 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2014-06-09 3:52 PM,83 F,69 F,63 %,S,9 mph,0 mph,29.85 in,0.0 in,Mostly Cloudy
2014-06-09 4:52 PM,84 F,70 F,63 %,S,8 mph,0 mph,29.84 in,0.0 in,Partly Cloudy
2014-06-09 5:52 PM,83 F,68 F,60 %,S,10 mph,0 mph,29.84 in,0.0 in,Partly Cloudy
2014-06-09 6:52 PM,84 F,69 F,61 %,S,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy
2014-06-09 7:52 PM,82 F,69 F,65 %,SSE,7 mph,0 mph,29.84 in,0.0 in,Partly Cloudy
2014-06-09 8:52 PM,80 F,69 F,69 %,SSE,6 mph,0 mph,29.85 in,0.0 in,Partly Cloudy
2014-06-09 9:52 PM,80 F,70 F,71 %,ESE,9 mph,0 mph,29.86 in,0.0 in,Cloudy
2014-06-09 10:52 PM,79 F,69 F,72 %,SE,9 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2014-06-09 11:52 PM,78 F,70 F,76 %,S,9 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
