Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2018-05-24 12:52 AM,67 F,58 F,73 %,CALM,0 mph,0 mph,30.09 in,0.0 in,Fair
2018-05-24 1:52 AM,66 F,60 F,81 %,SSE,3 mph,0 mph,30.09 in,0.0 in,Partly Cloudy
2018-05-24 2:52 AM,65 F,61 F,87 %,S,6 mph,0 mph,30.09 in,0.0 in,Fair
2018-05-24 3:52 AM,65 F,58 F,78 %,ENE,5 mph,0 mph,30.10 in,0.0 in,Fair
2018-05-24 4:52 AM,65 F,57 F,75 %,N,5 mph,0 mph,30.10 in,0.0 in,Fair
2018-05-24 5:52 AM,64 F,56 F,75 %,N,7 mph,0 mph,30.12 in,0.0 in,Fair
2018-05-24 6:52 AM,65 F,56 F,73 %,NNW,12 mph,0 mph,30.14 in,0.0 in,Fair
2018-05-24 7:52 AM,69 F,56 F,63 %,NNW,8 mph,0 mph,30.17 in,0.0 in,Fair
2018-05-24 8:52 AM,73 F,57 F,57 %,NNW,9 mph,0 mph,30.17 in,0.0 in,Fair
2018-05-24 9:52 AM,77 F,52 F,42 %,N,8 mph,0 mph,30.17 in,0.0 in,Fair
2018-05-24 10:52 AM,79 F,49 F,35 %,NE,5 mph,0 mph,30.17 in,0.0 in,Fair
2018-05-24 11:52 AM,81 F,50 F,34 %,NNE,8 mph,0 mph,30.17 in,0.0 in,Fair
2018-05-24 12:52 PM,82 F,53 F,37 %,ENE,8 mph,0 mph,30.17 in,0.0 in,Fair
2018-05-24 1:52 PM,84 F,48 F,28 %,VAR,3 mph,0 mph,30.15 in,0.0 in,Fair
2018-05-24 2:52 PM,85 F,44 F,24 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Fair
2018-05-24 3:52 PM,86 F,44 F,23 %,CALM,0 mph,0 mph,30.12 in,0.0 in,Fair
2018-05-24 4:52 PM,86 F,41 F,20 %,E,3 mph,0 mph,30.11 in,0.0 in,Fair
2018-05-24 5:52 PM,82 F,52 F,35 %,S,7 mph,0 mph,30.09 in,0.0 in,Fair
2018-05-24 6:52 PM,81 F,52 F,36 %,S,8 mph,0 mph,30.09 in,0.0 in,Fair
2018-05-24 7:52 PM,75 F,58 F,55 %,SSE,9 mph,0 mph,30.10 in,0.0 in,Fair
2018-05-24 8:52 PM,74 F,56 F,53 %,SSE,5 mph,0 mph,30.11 in,0.0 in,Fair
2018-05-24 9:52 PM,72 F,56 F,57 %,SSW,9 mph,0 mph,30.12 in,0.0 in,Fair
2018-05-24 10:52 PM,70 F,59 F,68 %,S,7 mph,0 mph,30.13 in,0.0 in,Fair
2018-05-24 11:52 PM,70 F,60 F,71 %,CALM,0 mph,0 mph,30.12 in,0.0 in,Fair
