Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2018-02-27 1:52 AM,42 F,34 F,73 %,N,3 mph,0 mph,30.33 in,0.0 in,Fair
2018-02-27 2:52 AM,42 F,37 F,82 %,CALM,0 mph,0 mph,30.35 in,0.0 in,Fair
2018-02-27 3:52 AM,40 F,30 F,68 %,N,6 mph,0 mph,30.36 in,0.0 in,Fair
2018-02-27 4:52 AM,39 F,29 F,67 %,CALM,0 mph,0 mph,30.36 in,0.0 in,Fair
2018-02-27 5:52 AM,38 F,30 F,73 %,N,5 mph,0 mph,30.38 in,0.0 in,Fair
2018-02-27 6:52 AM,36 F,28 F,73 %,N,5 mph,0 mph,30.39 in,0.0 in,Fair
2018-02-27 7:52 AM,40 F,28 F,63 %,NW,3 mph,0 mph,30.41 in,0.0 in,Fair
2018-02-27 8:52 AM,42 F,33 F,70 %,CALM,0 mph,0 mph,30.44 in,0.0 in,Fair
2018-02-27 9:52 AM,48 F,29 F,48 %,N,6 mph,0 mph,30.45 in,0.0 in,Fair
2018-02-27 10:52 AM,52 F,28 F,40 %,VAR,5 mph,0 mph,30.46 in,0.0 in,Fair
2018-02-27 11:52 AM,53 F,22 F,30 %,ESE,5 mph,0 mph,30.45 in,0.0 in,Fair
2018-02-27 12:52 PM,55 F,20 F,25 %,ESE,3 mph,0 mph,30.44 in,0.0 in,Fair
2018-02-27 1:52 PM,56 F,23 F,28 %,SE,5 mph,0 mph,30.41 in,0.0 in,Fair
2018-02-27 2:52 PM,56 F,21 F,26 %,SSE,7 mph,0 mph,30.37 in,0.0 in,Fair
2018-02-27 3:52 PM,58 F,26 F,30 %,S,10 mph,0 mph,30.34 in,0.0 in,Fair
2018-02-27 4:52 PM,57 F,28 F,33 %,S,12 mph,0 mph,30.32 in,0.0 in,Fair
2018-02-27 5:52 PM,57 F,25 F,29 %,SSW,9 mph,0 mph,30.30 in,0.0 in,Partly Cloudy
2018-02-27 6:52 PM,53 F,29 F,40 %,S,10 mph,0 mph,30.28 in,0.0 in,Partly Cloudy
2018-02-27 7:52 PM,50 F,31 F,48 %,S,9 mph,0 mph,30.29 in,0.0 in,Partly Cloudy
2018-02-27 8:52 PM,49 F,31 F,50 %,S,9 mph,0 mph,30.28 in,0.0 in,Partly Cloudy
2018-02-27 9:52 PM,48 F,28 F,46 %,S,10 mph,0 mph,30.27 in,0.0 in,Partly Cloudy
2018-02-27 10:52 PM,47 F,30 F,52 %,S,10 mph,0 mph,30.25 in,0.0 in,Partly Cloudy
2018-02-27 11:52 PM,46 F,31 F,56 %,S,10 mph,0 mph,30.24 in,0.0 in,Fair
2018-02-27 12:52 AM,46 F,32 F,58 %,S,13 mph,0 mph,30.22 in,0.0 in,Mostly Cloudy
