Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-12-20 1:52 AM,46 F,39 F,76 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Cloudy
2017-12-20 2:52 AM,43 F,37 F,80 %,N,3 mph,0 mph,29.85 in,0.0 in,Cloudy
2017-12-20 3:52 AM,55 F,37 F,51 %,NW,10 mph,0 mph,29.86 in,0.0 in,Cloudy
2017-12-20 4:52 AM,53 F,35 F,50 %,NNW,13 mph,0 mph,29.86 in,0.0 in,Cloudy
2017-12-20 5:52 AM,54 F,30 F,40 %,NW,12 mph,0 mph,29.88 in,0.0 in,Cloudy
2017-12-20 6:52 AM,52 F,28 F,40 %,NW,14 mph,0 mph,29.89 in,0.0 in,Cloudy
2017-12-20 7:52 AM,50 F,30 F,46 %,NNW,15 mph,0 mph,29.93 in,0.0 in,Cloudy
2017-12-20 8:52 AM,49 F,30 F,48 %,N,14 mph,0 mph,29.96 in,0.0 in,Cloudy
2017-12-20 9:52 AM,51 F,30 F,44 %,NW,10 mph,0 mph,29.98 in,0.0 in,Cloudy
2017-12-20 10:52 AM,51 F,30 F,44 %,NW,15 mph,0 mph,30.00 in,0.0 in,Cloudy
2017-12-20 11:52 AM,51 F,29 F,43 %,WNW,9 mph,0 mph,29.99 in,0.0 in,Cloudy
2017-12-20 12:52 PM,50 F,28 F,43 %,NNW,10 mph,20 mph,29.97 in,0.0 in,Cloudy
2017-12-20 1:52 PM,51 F,27 F,39 %,NW,14 mph,0 mph,29.95 in,0.0 in,Cloudy
2017-12-20 2:52 PM,51 F,27 F,39 %,NW,9 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2017-12-20 3:52 PM,53 F,27 F,37 %,NW,10 mph,0 mph,29.95 in,0.0 in,Mostly Cloudy
2017-12-20 4:52 PM,51 F,25 F,36 %,NW,8 mph,0 mph,29.97 in,0.0 in,Cloudy
2017-12-20 5:52 PM,46 F,25 F,44 %,NNW,9 mph,0 mph,29.98 in,0.0 in,Cloudy
2017-12-20 6:52 PM,46 F,24 F,42 %,NNW,8 mph,0 mph,29.99 in,0.0 in,Mostly Cloudy
2017-12-20 7:52 PM,45 F,25 F,46 %,N,6 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
2017-12-20 8:52 PM,44 F,23 F,43 %,N,6 mph,0 mph,30.02 in,0.0 in,Fair
2017-12-20 9:52 PM,41 F,28 F,60 %,SSE,3 mph,0 mph,30.04 in,0.0 in,Fair
2017-12-20 10:52 PM,40 F,21 F,47 %,N,8 mph,0 mph,30.05 in,0.0 in,Fair
2017-12-20 11:52 PM,40 F,25 F,55 %,E,3 mph,0 mph,30.05 in,0.0 in,Fair
2017-12-20 12:52 AM,39 F,24 F,55 %,E,3 mph,0 mph,30.06 in,0.0 in,Fair
