Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2019-04-21 12:52 AM,61 F,40 F,46 %,SW,8 mph,0 mph,29.83 in,0.0 in,Cloudy
2019-04-21 1:52 AM,60 F,41 F,49 %,SW,8 mph,0 mph,29.82 in,0.0 in,Cloudy
2019-04-21 2:52 AM,59 F,41 F,51 %,SW,9 mph,0 mph,29.82 in,0.0 in,Cloudy
2019-04-21 3:52 AM,57 F,42 F,57 %,SSW,9 mph,0 mph,29.85 in,0.0 in,Partly Cloudy
2019-04-21 4:52 AM,54 F,41 F,62 %,SW,8 mph,0 mph,29.86 in,0.0 in,Fair
2019-04-21 5:52 AM,53 F,42 F,66 %,SW,8 mph,0 mph,29.89 in,0.0 in,Fair
2019-04-21 6:52 AM,52 F,43 F,71 %,SSW,6 mph,0 mph,29.92 in,0.0 in,Fair
2019-04-21 7:52 AM,54 F,44 F,69 %,SSW,8 mph,0 mph,29.94 in,0.0 in,Fair
2019-04-21 8:52 AM,57 F,45 F,64 %,S,8 mph,0 mph,29.96 in,0.0 in,Partly Cloudy
2019-04-21 9:52 AM,60 F,44 F,55 %,WSW,6 mph,0 mph,29.97 in,0.0 in,Partly Cloudy
2019-04-21 10:52 AM,62 F,42 F,48 %,SSW,7 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2019-04-21 11:52 AM,65 F,42 F,43 %,CALM,0 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2019-04-21 12:52 PM,67 F,43 F,42 %,VAR,5 mph,0 mph,29.98 in,0.0 in,Partly Cloudy
2019-04-21 1:52 PM,68 F,43 F,40 %,E,5 mph,0 mph,29.97 in,0.0 in,Partly Cloudy
2019-04-21 2:52 PM,67 F,43 F,42 %,ESE,5 mph,0 mph,29.97 in,0.0 in,Partly Cloudy
2019-04-21 3:52 PM,69 F,42 F,38 %,ESE,5 mph,0 mph,29.96 in,0.0 in,Mostly Cloudy
2019-04-21 4:52 PM,68 F,40 F,36 %,CALM,0 mph,0 mph,29.97 in,0.0 in,Mostly Cloudy
2019-04-21 5:52 PM,68 F,41 F,37 %,NNE,5 mph,0 mph,29.98 in,0.0 in,Mostly Cloudy
2019-04-21 6:52 PM,67 F,45 F,45 %,N,9 mph,0 mph,30.00 in,0.0 in,Mostly Cloudy
2019-04-21 7:52 PM,64 F,45 F,50 %,N,9 mph,0 mph,30.02 in,0.0 in,Mostly Cloudy
2019-04-21 8:52 PM,64 F,47 F,54 %,NE,8 mph,0 mph,30.04 in,0.0 in,Light Rain
2019-04-21 9:18 PM,64 F,46 F,52 %,ENE,6 mph,0 mph,30.04 in,0.0 in,Cloudy
2019-04-21 9:52 PM,64 F,45 F,50 %,NNW,3 mph,0 mph,30.05 in,0.0 in,Cloudy
2019-04-21 10:52 PM,63 F,46 F,54 %,NW,14 mph,0 mph,30.07 in,0.0 in,Mostly Cloudy
2019-04-21 11:52 PM,62 F,46 F,56 %,NW,12 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy
