Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2015-02-05 1:52 AM,42 F,26 F,53 %,S,3 mph,0 mph,29.89 in,0.0 in,Mostly Cloudy
2015-02-05 2:52 AM,41 F,27 F,57 %,S,9 mph,0 mph,29.88 in,0.0 in,Cloudy
2015-02-05 3:52 AM,40 F,26 F,58 %,NNW,3 mph,0 mph,29.87 in,0.0 in,Cloudy
2015-02-05 4:52 AM,39 F,27 F,62 %,SSW,3 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2015-02-05 5:52 AM,37 F,25 F,62 %,W,3 mph,0 mph,29.86 in,0.0 in,Cloudy
2015-02-05 6:52 AM,44 F,26 F,49 %,NW,16 mph,24 mph,29.90 in,0.0 in,Mostly Cloudy
2015-02-05 7:16 AM,45 F,28 F,53 %,NW,17 mph,22 mph,29.92 in,0.0 in,Mostly Cloudy
2015-02-05 7:30 AM,41 F,27 F,57 %,NNW,21 mph,35 mph,29.94 in,0.0 in,Mostly Cloudy / Windy
2015-02-05 7:52 AM,39 F,23 F,53 %,NNW,20 mph,30 mph,29.97 in,0.0 in,Mostly Cloudy
2015-02-05 8:52 AM,38 F,18 F,44 %,NNW,21 mph,31 mph,30.02 in,0.0 in,Cloudy / Windy
2015-02-05 9:52 AM,35 F,15 F,44 %,NNW,20 mph,31 mph,30.08 in,0.0 in,Cloudy
2015-02-05 10:52 AM,34 F,12 F,40 %,NW,23 mph,35 mph,30.12 in,0.0 in,Cloudy / Windy
2015-02-05 11:52 AM,33 F,7 F,34 %,NW,21 mph,31 mph,30.15 in,0.0 in,Cloudy / Windy
2015-02-05 12:52 PM,34 F,7 F,32 %,NNW,23 mph,36 mph,30.13 in,0.0 in,Mostly Cloudy / Windy
2015-02-05 1:52 PM,34 F,5 F,30 %,NNW,28 mph,37 mph,30.12 in,0.0 in,Mostly Cloudy / Windy
2015-02-05 2:52 PM,33 F,4 F,29 %,NNW,23 mph,37 mph,30.14 in,0.0 in,Mostly Cloudy / Windy
2015-02-05 3:52 PM,34 F,4 F,28 %,NNW,22 mph,29 mph,30.14 in,0.0 in,Partly Cloudy / Windy
2015-02-05 4:52 PM,32 F,2 F,28 %,NW,22 mph,32 mph,30.16 in,0.0 in,Partly Cloudy / Windy
2015-02-05 5:52 PM,30 F,-2 F,25 %,NW,25 mph,31 mph,30.20 in,0.0 in,Fair / Windy
2015-02-05 6:52 PM,28 F,-3 F,26 %,NNW,23 mph,31 mph,30.23 in,0.0 in,Partly Cloudy / Windy
2015-02-05 7:52 PM,27 F,-3 F,27 %,NNW,18 mph,0 mph,30.27 in,0.0 in,Fair
2015-02-05 8:52 PM,26 F,-2 F,30 %,NW,14 mph,0 mph,30.29 in,0.0 in,Fair
2015-02-05 9:52 PM,25 F,-2 F,31 %,NW,16 mph,25 mph,30.31 in,0.0 in,Partly Cloudy
2015-02-05 10:52 PM,23 F,-1 F,35 %,NNW,17 mph,0 mph,30.32 in,0.0 in,Fair
2015-02-05 11:52 PM,22 F,-1 F,37 %,NW,10 mph,23 mph,30.33 in,0.0 in,Fair
2015-02-05 12:52 AM,21 F,-1 F,38 %,NW,17 mph,22 mph,30.34 in,0.0 in,Fair
