Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-09-01 12:52 AM,73 F,64 F,73 %,NNE,13 mph,0 mph,30.00 in,0.0 in,Cloudy
2017-09-01 1:52 AM,72 F,61 F,68 %,NNE,12 mph,0 mph,30.01 in,0.0 in,Mostly Cloudy
2017-09-01 2:52 AM,71 F,59 F,66 %,NNE,12 mph,0 mph,30.03 in,0.0 in,Mostly Cloudy
2017-09-01 3:52 AM,69 F,57 F,65 %,NNE,13 mph,0 mph,30.04 in,0.0 in,Mostly Cloudy
2017-09-01 4:52 AM,67 F,55 F,66 %,NNE,17 mph,0 mph,30.07 in,0.0 in,Cloudy
2017-09-01 5:52 AM,66 F,51 F,59 %,NNE,20 mph,0 mph,30.09 in,0.0 in,Cloudy
2017-09-01 6:52 AM,64 F,52 F,65 %,NNE,17 mph,21 mph,30.11 in,0.0 in,Cloudy
2017-09-01 7:52 AM,63 F,51 F,65 %,NNE,18 mph,0 mph,30.14 in,0.0 in,Cloudy
2017-09-01 8:52 AM,63 F,49 F,60 %,NNE,13 mph,0 mph,30.15 in,0.0 in,Cloudy
2017-09-01 9:52 AM,64 F,49 F,58 %,NE,14 mph,0 mph,30.16 in,0.0 in,Cloudy
2017-09-01 10:52 AM,64 F,50 F,60 %,ENE,7 mph,0 mph,30.17 in,0.0 in,Cloudy
2017-09-01 11:52 AM,64 F,50 F,60 %,NE,12 mph,0 mph,30.18 in,0.0 in,Cloudy
2017-09-01 12:52 PM,64 F,49 F,58 %,NNE,12 mph,0 mph,30.16 in,0.0 in,Cloudy
2017-09-01 1:52 PM,65 F,48 F,54 %,N,7 mph,0 mph,30.17 in,0.0 in,Cloudy
2017-09-01 2:52 PM,66 F,48 F,52 %,NNE,10 mph,0 mph,30.12 in,0.0 in,Cloudy
2017-09-01 3:52 PM,66 F,48 F,52 %,NNE,6 mph,0 mph,30.12 in,0.0 in,Cloudy
2017-09-01 4:52 PM,66 F,47 F,50 %,ENE,3 mph,0 mph,30.13 in,0.0 in,Cloudy
2017-09-01 5:52 PM,67 F,49 F,52 %,ENE,8 mph,0 mph,30.12 in,0.0 in,Cloudy
2017-09-01 6:52 PM,65 F,50 F,58 %,E,8 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2017-09-01 7:52 PM,64 F,51 F,63 %,ESE,6 mph,0 mph,30.16 in,0.0 in,Cloudy
2017-09-01 8:52 PM,64 F,51 F,63 %,E,6 mph,0 mph,30.17 in,0.0 in,Cloudy
2017-09-01 9:52 PM,64 F,52 F,65 %,E,6 mph,0 mph,30.16 in,0.0 in,Cloudy
2017-09-01 10:52 PM,64 F,50 F,60 %,E,5 mph,0 mph,30.16 in,0.0 in,Cloudy
2017-09-01 11:52 PM,63 F,51 F,65 %,ENE,7 mph,0 mph,30.14 in,0.0 in,Cloudy
