Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2017-09-17 12:52 AM,72 F,68 F,87 %,E,3 mph,0 mph,30.10 in,0.0 in,Fair
2017-09-17 1:52 AM,72 F,68 F,87 %,SSW,3 mph,0 mph,30.09 in,0.0 in,Partly Cloudy
2017-09-17 2:52 AM,71 F,68 F,90 %,CALM,0 mph,0 mph,30.09 in,0.0 in,Partly Cloudy
2017-09-17 3:52 AM,71 F,68 F,90 %,NE,3 mph,0 mph,30.08 in,0.0 in,Fair
2017-09-17 4:52 AM,69 F,68 F,96 %,NE,5 mph,0 mph,30.10 in,0.0 in,Partly Cloudy
2017-09-17 5:52 AM,69 F,67 F,93 %,NE,7 mph,0 mph,30.11 in,0.0 in,Partly Cloudy
2017-09-17 6:52 AM,69 F,67 F,93 %,NNE,5 mph,0 mph,30.13 in,0.0 in,Partly Cloudy
2017-09-17 7:48 AM,70 F,70 F,100 %,N,3 mph,0 mph,30.15 in,0.0 in,Cloudy
2017-09-17 7:52 AM,70 F,69 F,97 %,N,3 mph,0 mph,30.15 in,0.0 in,Cloudy
2017-09-17 8:26 AM,71 F,69 F,93 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Cloudy
2017-09-17 8:38 AM,72 F,69 F,91 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2017-09-17 8:52 AM,73 F,69 F,87 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2017-09-17 8:59 AM,73 F,69 F,87 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2017-09-17 9:32 AM,74 F,70 F,87 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2017-09-17 9:52 AM,74 F,70 F,87 %,NNE,3 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2017-09-17 10:27 AM,75 F,69 F,82 %,CALM,0 mph,0 mph,30.14 in,0.0 in,Cloudy
2017-09-17 10:52 AM,78 F,70 F,76 %,NNE,6 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2017-09-17 11:52 AM,79 F,69 F,72 %,NNE,7 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2017-09-17 12:52 PM,81 F,71 F,72 %,N,7 mph,0 mph,30.11 in,0.0 in,Mostly Cloudy
2017-09-17 1:52 PM,82 F,69 F,65 %,NNE,6 mph,0 mph,30.09 in,0.0 in,Mostly Cloudy
2017-09-17 2:47 PM,84 F,68 F,58 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy
2017-09-17 2:52 PM,84 F,68 F,58 %,E,3 mph,0 mph,30.08 in,0.0 in,Mostly Cloudy
2017-09-17 3:52 PM,84 F,68 F,58 %,ENE,6 mph,0 mph,30.05 in,0.0 in,Partly Cloudy
2017-09-17 4:52 PM,80 F,69 F,69 %,ESE,10 mph,0 mph,30.05 in,0.0 in,Partly Cloudy
2017-09-17 5:52 PM,79 F,69 F,72 %,E,8 mph,0 mph,30.06 in,0.0 in,Mostly Cloudy
2017-09-17 6:52 PM,78 F,68 F,71 %,ESE,5 mph,0 mph,30.06 in,0.0 in,Partly Cloudy
2017-09-17 7:52 PM,77 F,69 F,76 %,CALM,0 mph,0 mph,30.07 in,0.0 in,Fair
2017-09-17 8:52 PM,76 F,69 F,79 %,NE,3 mph,0 mph,30.08 in,0.0 in,Fair
2017-09-17 9:52 PM,74 F,69 F,85 %,E,6 mph,0 mph,30.07 in,0.0 in,Fair
2017-09-17 10:52 PM,74 F,69 F,85 %,CALM,0 mph,0 mph,30.08 in,0.0 in,Fair
2017-09-17 11:52 PM,73 F,69 F,87 %,NE,3 mph,0 mph,30.08 in,0.0 in,Fair
