Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2014-04-30 12:47 AM,52 F,48 F,88 %,NE,14 mph,0 mph,30.15 in,0.0 in,Light Rain
2014-04-30 12:52 AM,52 F,48 F,86 %,ENE,15 mph,0 mph,30.15 in,0.0 in,Light Rain
2014-04-30 1:52 AM,52 F,49 F,89 %,ENE,13 mph,0 mph,30.13 in,0.1 in,Light Rain
2014-04-30 2:52 AM,52 F,49 F,89 %,NE,13 mph,0 mph,30.10 in,0.0 in,Light Rain
2014-04-30 3:18 AM,52 F,48 F,88 %,NE,8 mph,0 mph,30.11 in,0.0 in,Heavy T-Storm
2014-04-30 3:43 AM,52 F,48 F,88 %,NE,10 mph,0 mph,30.10 in,0.1 in,Light Rain
2014-04-30 3:52 AM,52 F,49 F,89 %,NE,10 mph,0 mph,30.09 in,0.1 in,Light Rain
2014-04-30 4:38 AM,52 F,48 F,88 %,ENE,8 mph,0 mph,30.09 in,0.0 in,Light Rain
2014-04-30 4:52 AM,53 F,50 F,89 %,NE,10 mph,0 mph,30.08 in,0.0 in,Light Drizzle
2014-04-30 5:52 AM,53 F,50 F,89 %,NE,10 mph,0 mph,30.08 in,0.0 in,Light Drizzle
2014-04-30 6:52 AM,53 F,51 F,93 %,NE,12 mph,0 mph,30.08 in,0.0 in,Light Rain
2014-04-30 7:26 AM,54 F,52 F,94 %,NE,10 mph,0 mph,30.07 in,0.1 in,Light Rain
2014-04-30 7:36 AM,54 F,52 F,94 %,NE,9 mph,0 mph,30.07 in,0.1 in,Light Rain
2014-04-30 7:41 AM,54 F,52 F,94 %,NE,10 mph,0 mph,30.06 in,0.1 in,Rain
2014-04-30 7:45 AM,54 F,52 F,94 %,NE,12 mph,0 mph,30.06 in,0.2 in,Light Rain
2014-04-30 7:52 AM,54 F,51 F,90 %,NE,12 mph,0 mph,30.06 in,0.2 in,Light Rain
2014-04-30 8:09 AM,55 F,52 F,88 %,NE,10 mph,0 mph,30.06 in,0.0 in,Light Rain
2014-04-30 8:52 AM,55 F,52 F,89 %,NE,12 mph,0 mph,30.06 in,0.1 in,Light Rain
2014-04-30 9:19 AM,55 F,54 F,94 %,NE,10 mph,0 mph,30.06 in,0.1 in,Rain
2014-04-30 9:38 AM,55 F,54 F,94 %,NE,9 mph,0 mph,30.05 in,0.2 in,Rain
2014-04-30 9:52 AM,56 F,53 F,90 %,NNE,9 mph,0 mph,30.05 in,0.2 in,Light Rain
2014-04-30 10:52 AM,57 F,54 F,89 %,NE,8 mph,0 mph,30.02 in,0.1 in,Light Rain
2014-04-30 11:27 AM,57 F,55 F,94 %,NE,10 mph,0 mph,30.00 in,0.0 in,Light Rain
2014-04-30 11:52 AM,59 F,56 F,90 %,NNE,10 mph,0 mph,30.00 in,0.0 in,Rain
2014-04-30 12:01 PM,59 F,55 F,88 %,NNE,10 mph,0 mph,30.00 in,0.0 in,Light Rain
2014-04-30 12:07 PM,59 F,57 F,94 %,NNE,7 mph,0 mph,30.00 in,0.1 in,Rain
2014-04-30 12:11 PM,59 F,57 F,94 %,NNE,10 mph,0 mph,29.99 in,0.1 in,Heavy Rain
2014-04-30 12:15 PM,59 F,57 F,94 %,NE,9 mph,0 mph,29.98 in,0.2 in,Heavy Rain
2014-04-30 12:20 PM,59 F,57 F,94 %,NE,13 mph,0 mph,29.97 in,0.2 in,Rain
2014-04-30 12:23 PM,59 F,57 F,94 %,ENE,14 mph,0 mph,29.97 in,0.2 in,Heavy Rain
2014-04-30 12:31 PM,59 F,57 F,94 %,ENE,13 mph,0 mph,29.96 in,0.3 in,Heavy Rain
2014-04-30 12:34 PM,59 F,57 F,94 %,ENE,10 mph,0 mph,29.97 in,0.4 in,Heavy Rain
2014-04-30 12:41 PM,59 F,57 F,94 %,N,6 mph,0 mph,29.98 in,0.5 in,Rain
2014-04-30 12:52 PM,62 F,59 F,90 %,VAR,5 mph,29 mph,29.97 in,0.6 in,Rain
2014-04-30 1:08 PM,61 F,57 F,88 %,N,8 mph,0 mph,29.96 in,0.0 in,Light Rain
2014-04-30 1:52 PM,62 F,59 F,90 %,NNE,8 mph,0 mph,29.95 in,0.0 in,Light Rain
2014-04-30 2:07 PM,61 F,59 F,94 %,NNW,10 mph,0 mph,29.94 in,0.0 in,Light Rain
2014-04-30 2:18 PM,61 F,59 F,94 %,NNW,10 mph,0 mph,29.94 in,0.0 in,Light Rain
2014-04-30 2:32 PM,61 F,57 F,88 %,NNW,10 mph,0 mph,29.93 in,0.1 in,Rain
2014-04-30 2:36 PM,61 F,57 F,88 %,WNW,17 mph,0 mph,29.94 in,0.1 in,Heavy Rain
2014-04-30 2:46 PM,61 F,57 F,88 %,NNE,9 mph,0 mph,29.93 in,0.1 in,Light Rain
2014-04-30 2:52 PM,61 F,58 F,90 %,N,8 mph,21 mph,29.93 in,0.1 in,Light Rain
