Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2015-05-26 12:52 AM,72 F,62 F,71 %,S,10 mph,0 mph,30.18 in,0.0 in,Mostly Cloudy
2015-05-26 1:52 AM,71 F,60 F,68 %,SSW,10 mph,0 mph,30.19 in,0.0 in,Mostly Cloudy
2015-05-26 2:52 AM,70 F,59 F,68 %,S,10 mph,0 mph,30.18 in,0.0 in,Fair
2015-05-26 3:52 AM,70 F,59 F,68 %,S,13 mph,0 mph,30.18 in,0.0 in,Fair
2015-05-26 4:52 AM,69 F,59 F,70 %,S,10 mph,0 mph,30.20 in,0.0 in,Partly Cloudy
2015-05-26 5:52 AM,69 F,60 F,73 %,S,13 mph,0 mph,30.19 in,0.0 in,Mostly Cloudy
2015-05-26 6:52 AM,70 F,61 F,73 %,SSW,10 mph,0 mph,30.21 in,0.0 in,Mostly Cloudy
2015-05-26 7:52 AM,72 F,61 F,68 %,SSW,9 mph,0 mph,30.22 in,0.0 in,Mostly Cloudy
2015-05-26 8:52 AM,75 F,63 F,66 %,SSW,10 mph,0 mph,30.22 in,0.0 in,Mostly Cloudy
2015-05-26 9:52 AM,78 F,63 F,60 %,SW,10 mph,17 mph,30.22 in,0.0 in,Mostly Cloudy
2015-05-26 10:52 AM,80 F,65 F,60 %,S,12 mph,0 mph,30.21 in,0.0 in,Cloudy
2015-05-26 11:52 AM,82 F,67 F,60 %,S,13 mph,0 mph,30.20 in,0.0 in,Cloudy
2015-05-26 12:52 PM,85 F,67 F,55 %,S,13 mph,20 mph,30.19 in,0.0 in,Cloudy
2015-05-26 1:52 PM,86 F,68 F,55 %,S,16 mph,23 mph,30.18 in,0.0 in,Cloudy
2015-05-26 2:52 PM,87 F,68 F,53 %,S,14 mph,21 mph,30.16 in,0.0 in,Cloudy
2015-05-26 3:52 PM,87 F,66 F,49 %,S,15 mph,20 mph,30.14 in,0.0 in,Cloudy
2015-05-26 4:52 PM,87 F,68 F,53 %,S,9 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2015-05-26 5:52 PM,85 F,69 F,59 %,S,12 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2015-05-26 6:52 PM,85 F,68 F,57 %,S,12 mph,0 mph,30.11 in,0.0 in,Mostly Cloudy
2015-05-26 7:52 PM,81 F,69 F,67 %,S,8 mph,0 mph,30.11 in,0.0 in,Mostly Cloudy
2015-05-26 8:52 PM,80 F,69 F,69 %,S,8 mph,0 mph,30.12 in,0.0 in,Mostly Cloudy
2015-05-26 9:52 PM,79 F,70 F,74 %,S,8 mph,0 mph,30.13 in,0.0 in,Mostly Cloudy
2015-05-26 10:52 PM,79 F,68 F,69 %,S,10 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
2015-05-26 11:52 PM,77 F,67 F,71 %,S,10 mph,0 mph,30.14 in,0.0 in,Mostly Cloudy
