Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2018-11-22 1:52 AM,42 F,24 F,49 %,NW,13 mph,0 mph,30.27 in,0.0 in,Mostly Cloudy
2018-11-22 2:52 AM,41 F,25 F,53 %,NNW,16 mph,0 mph,30.28 in,0.0 in,Mostly Cloudy
2018-11-22 3:52 AM,39 F,22 F,50 %,NNW,17 mph,0 mph,30.31 in,0.0 in,Mostly Cloudy
2018-11-22 4:52 AM,37 F,20 F,50 %,N,16 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
2018-11-22 5:52 AM,35 F,18 F,50 %,N,18 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
2018-11-22 6:52 AM,33 F,17 F,52 %,N,15 mph,0 mph,30.40 in,0.0 in,Partly Cloudy
2018-11-22 7:52 AM,31 F,14 F,50 %,N,17 mph,0 mph,30.43 in,0.0 in,Fair
2018-11-22 8:52 AM,32 F,12 F,44 %,N,18 mph,0 mph,30.46 in,0.0 in,Fair
2018-11-22 9:52 AM,32 F,10 F,40 %,N,16 mph,0 mph,30.49 in,0.0 in,Fair
2018-11-22 10:52 AM,34 F,12 F,40 %,N,15 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
2018-11-22 11:52 AM,33 F,12 F,42 %,N,15 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
2018-11-22 12:52 PM,35 F,11 F,37 %,N,13 mph,0 mph,30.49 in,0.0 in,Mostly Cloudy
2018-11-22 1:52 PM,35 F,7 F,31 %,N,17 mph,0 mph,30.47 in,0.0 in,Mostly Cloudy
2018-11-22 2:52 PM,34 F,7 F,32 %,N,14 mph,0 mph,30.47 in,0.0 in,Mostly Cloudy
2018-11-22 3:52 PM,34 F,8 F,34 %,N,9 mph,0 mph,30.48 in,0.0 in,Mostly Cloudy
2018-11-22 4:52 PM,33 F,9 F,37 %,NNW,13 mph,0 mph,30.50 in,0.0 in,Cloudy
2018-11-22 5:52 PM,33 F,9 F,37 %,N,12 mph,0 mph,30.51 in,0.0 in,Mostly Cloudy
2018-11-22 6:52 PM,31 F,9 F,40 %,N,10 mph,0 mph,30.52 in,0.0 in,Mostly Cloudy
2018-11-22 7:52 PM,31 F,8 F,38 %,NNE,12 mph,0 mph,30.55 in,0.0 in,Fair
2018-11-22 8:52 PM,30 F,6 F,36 %,NNE,12 mph,0 mph,30.56 in,0.0 in,Fair
2018-11-22 9:52 PM,30 F,7 F,38 %,NE,12 mph,0 mph,30.57 in,0.0 in,Fair
2018-11-22 10:52 PM,30 F,5 F,35 %,NE,10 mph,0 mph,30.59 in,0.0 in,Cloudy
2018-11-22 11:52 PM,30 F,4 F,33 %,NE,13 mph,0 mph,30.59 in,0.0 in,Cloudy
2018-11-22 12:52 AM,29 F,3 F,33 %,NE,10 mph,0 mph,30.61 in,0.0 in,Cloudy
