Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2013-11-15 12:52 AM,41 F,27 F,57 %,SSW,3 mph,0 mph,30.23 in,0.0 in,Fair
2013-11-15 1:52 AM,39 F,27 F,62 %,SW,3 mph,0 mph,30.22 in,0.0 in,Partly Cloudy
2013-11-15 2:52 AM,41 F,27 F,57 %,WSW,5 mph,0 mph,30.22 in,0.0 in,Fair
2013-11-15 3:52 AM,38 F,27 F,65 %,SSW,5 mph,0 mph,30.22 in,0.0 in,Fair
2013-11-15 4:52 AM,38 F,28 F,68 %,SW,3 mph,0 mph,30.22 in,0.0 in,Fair
2013-11-15 5:52 AM,37 F,27 F,67 %,CALM,0 mph,0 mph,30.22 in,0.0 in,Mostly Cloudy
2013-11-15 6:52 AM,36 F,28 F,73 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Mostly Cloudy
2013-11-15 7:52 AM,36 F,27 F,70 %,CALM,0 mph,0 mph,30.26 in,0.0 in,Mostly Cloudy
2013-11-15 8:52 AM,39 F,28 F,65 %,CALM,0 mph,0 mph,30.26 in,0.0 in,Cloudy
2013-11-15 9:52 AM,42 F,31 F,65 %,S,5 mph,0 mph,30.28 in,0.0 in,Cloudy
2013-11-15 10:52 AM,44 F,0 F,63 %,S,6 mph,0 mph,30.28 in,0.0 in,Cloudy
2013-11-15 11:52 AM,47 F,31 F,54 %,S,6 mph,0 mph,30.28 in,0.0 in,Cloudy
2013-11-15 12:52 PM,50 F,29 F,44 %,SSE,5 mph,0 mph,30.24 in,0.0 in,Cloudy
2013-11-15 1:52 PM,53 F,31 F,43 %,S,3 mph,0 mph,30.21 in,0.0 in,Cloudy
2013-11-15 2:52 PM,59 F,30 F,33 %,S,7 mph,0 mph,30.19 in,0.0 in,Cloudy
2013-11-15 3:52 PM,61 F,28 F,29 %,S,8 mph,0 mph,30.19 in,0.0 in,Cloudy
2013-11-15 4:52 PM,57 F,30 F,36 %,S,8 mph,0 mph,30.19 in,0.0 in,Mostly Cloudy
2013-11-15 5:52 PM,53 F,31 F,43 %,S,5 mph,0 mph,30.19 in,0.0 in,Mostly Cloudy
2013-11-15 6:52 PM,53 F,0 F,45 %,SSE,3 mph,0 mph,30.21 in,0.0 in,Cloudy
2013-11-15 7:52 PM,51 F,35 F,54 %,S,3 mph,0 mph,30.20 in,0.0 in,Cloudy
2013-11-15 8:52 PM,52 F,30 F,43 %,S,5 mph,0 mph,30.21 in,0.0 in,Cloudy
2013-11-15 9:52 PM,51 F,36 F,56 %,CALM,0 mph,0 mph,30.22 in,0.0 in,Cloudy
2013-11-15 10:52 PM,52 F,0 F,47 %,CALM,0 mph,0 mph,30.23 in,0.0 in,Cloudy
2013-11-15 11:52 PM,50 F,37 F,61 %,CALM,0 mph,0 mph,30.24 in,0.0 in,Cloudy
