Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2019-05-17 12:52 AM,62 F,55 F,78 %,S,6 mph,0 mph,29.87 in,0.0 in,Fair
2019-05-17 1:52 AM,61 F,56 F,83 %,S,5 mph,0 mph,29.85 in,0.0 in,Fair
2019-05-17 2:52 AM,61 F,56 F,83 %,CALM,0 mph,0 mph,29.85 in,0.0 in,Partly Cloudy
2019-05-17 3:52 AM,61 F,55 F,81 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Partly Cloudy
2019-05-17 4:52 AM,59 F,56 F,90 %,S,6 mph,0 mph,29.81 in,0.0 in,Mostly Cloudy
2019-05-17 5:52 AM,60 F,54 F,80 %,SSW,5 mph,0 mph,29.82 in,0.0 in,Cloudy
2019-05-17 6:52 AM,61 F,53 F,75 %,SSW,9 mph,0 mph,29.82 in,0.0 in,Cloudy
2019-05-17 7:52 AM,62 F,56 F,80 %,S,7 mph,0 mph,29.83 in,0.0 in,Cloudy
2019-05-17 8:52 AM,63 F,56 F,78 %,S,8 mph,0 mph,29.83 in,0.0 in,Cloudy
2019-05-17 9:52 AM,64 F,56 F,75 %,S,8 mph,0 mph,29.83 in,0.0 in,Cloudy
2019-05-17 10:52 AM,64 F,57 F,78 %,S,12 mph,0 mph,29.83 in,0.0 in,Cloudy
2019-05-17 11:52 AM,68 F,58 F,70 %,S,9 mph,0 mph,29.82 in,0.0 in,Cloudy
2019-05-17 12:52 PM,70 F,58 F,65 %,SSE,6 mph,0 mph,29.79 in,0.0 in,Mostly Cloudy
2019-05-17 1:52 PM,74 F,61 F,64 %,S,10 mph,0 mph,29.78 in,0.0 in,Mostly Cloudy
2019-05-17 2:52 PM,75 F,61 F,62 %,S,12 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2019-05-17 3:52 PM,78 F,62 F,58 %,SSW,12 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2019-05-17 4:36 PM,81 F,61 F,50 %,W,9 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2019-05-17 4:52 PM,81 F,62 F,52 %,VAR,7 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2019-05-17 5:52 PM,78 F,63 F,60 %,S,8 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2019-05-17 6:52 PM,82 F,60 F,47 %,NW,8 mph,0 mph,29.77 in,0.0 in,Mostly Cloudy
2019-05-17 7:52 PM,80 F,60 F,50 %,WNW,9 mph,0 mph,29.80 in,0.0 in,Mostly Cloudy
2019-05-17 8:52 PM,79 F,60 F,52 %,WNW,6 mph,0 mph,29.82 in,0.0 in,Mostly Cloudy
2019-05-17 9:52 PM,78 F,60 F,54 %,WNW,8 mph,0 mph,29.83 in,0.0 in,Mostly Cloudy
2019-05-17 10:52 PM,74 F,61 F,64 %,SSW,6 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2019-05-17 11:52 PM,71 F,62 F,73 %,S,3 mph,0 mph,29.87 in,0.0 in,Cloudy
