Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2014-02-04 12:52 AM,34 F,27 F,75 %,NE,8 mph,0 mph,30.33 in,0.0 in,Mostly Cloudy
2014-02-04 1:52 AM,34 F,26 F,73 %,NE,6 mph,0 mph,30.34 in,0.0 in,Mostly Cloudy
2014-02-04 2:52 AM,33 F,25 F,72 %,NNE,9 mph,0 mph,30.36 in,0.0 in,Mostly Cloudy
2014-02-04 3:52 AM,32 F,23 F,69 %,NNE,9 mph,0 mph,30.37 in,0.0 in,Mostly Cloudy
2014-02-04 4:52 AM,32 F,22 F,66 %,NE,9 mph,0 mph,30.37 in,0.0 in,Mostly Cloudy
2014-02-04 5:52 AM,31 F,22 F,69 %,NNE,7 mph,0 mph,30.39 in,0.0 in,Mostly Cloudy
2014-02-04 6:52 AM,31 F,20 F,64 %,NNE,8 mph,0 mph,30.40 in,0.0 in,Mostly Cloudy
2014-02-04 7:52 AM,30 F,20 F,66 %,NE,6 mph,0 mph,30.42 in,0.0 in,Mostly Cloudy
2014-02-04 8:52 AM,30 F,21 F,69 %,NNE,8 mph,0 mph,30.45 in,0.0 in,Cloudy
2014-02-04 9:52 AM,31 F,21 F,67 %,NE,9 mph,0 mph,30.44 in,0.0 in,Cloudy
2014-02-04 10:52 AM,34 F,21 F,59 %,NE,6 mph,0 mph,30.46 in,0.0 in,Cloudy
2014-02-04 11:52 AM,35 F,20 F,54 %,CALM,0 mph,0 mph,30.48 in,0.0 in,Cloudy
2014-02-04 12:52 PM,36 F,21 F,55 %,CALM,0 mph,0 mph,30.44 in,0.0 in,Cloudy
2014-02-04 1:52 PM,38 F,22 F,53 %,ENE,3 mph,0 mph,30.40 in,0.0 in,Cloudy
2014-02-04 2:52 PM,38 F,21 F,51 %,CALM,0 mph,0 mph,30.38 in,0.0 in,Cloudy
2014-02-04 3:52 PM,39 F,21 F,49 %,NE,3 mph,0 mph,30.34 in,0.0 in,Cloudy
2014-02-04 4:52 PM,38 F,23 F,55 %,NE,6 mph,0 mph,30.32 in,0.0 in,Cloudy
2014-02-04 5:52 PM,38 F,24 F,57 %,ENE,6 mph,0 mph,30.32 in,0.0 in,Cloudy
2014-02-04 6:52 PM,36 F,23 F,59 %,ENE,7 mph,0 mph,30.33 in,0.0 in,Cloudy
2014-02-04 7:52 PM,36 F,23 F,59 %,E,9 mph,0 mph,30.33 in,0.0 in,Cloudy
2014-02-04 8:52 PM,35 F,22 F,59 %,ENE,10 mph,0 mph,30.30 in,0.0 in,Cloudy
2014-02-04 9:52 PM,35 F,22 F,59 %,ENE,6 mph,0 mph,30.28 in,0.0 in,Cloudy
2014-02-04 10:02 PM,36 F,21 F,56 %,NE,8 mph,0 mph,30.27 in,0.0 in,Cloudy
2014-02-04 10:04 PM,34 F,21 F,60 %,NE,7 mph,0 mph,30.27 in,0.0 in,Cloudy
2014-02-04 10:52 PM,33 F,25 F,72 %,E,7 mph,0 mph,30.26 in,0.0 in,Cloudy
2014-02-04 11:25 PM,32 F,27 F,80 %,NE,7 mph,0 mph,30.22 in,0.0 in,Cloudy
2014-02-04 11:31 PM,32 F,28 F,87 %,ENE,7 mph,0 mph,30.22 in,0.0 in,Cloudy
2014-02-04 11:38 PM,32 F,28 F,87 %,NE,7 mph,0 mph,30.21 in,0.0 in,Cloudy
2014-02-04 11:52 PM,32 F,28 F,85 %,NE,7 mph,0 mph,30.20 in,0.0 in,Cloudy
2014-02-04 12:05 AM,34 F,28 F,81 %,NE,6 mph,0 mph,30.20 in,0.0 in,Cloudy
2014-02-04 12:19 AM,34 F,28 F,81 %,NE,7 mph,0 mph,30.18 in,0.0 in,Cloudy
2014-02-04 12:37 AM,34 F,28 F,81 %,ENE,6 mph,0 mph,30.16 in,0.0 in,Cloudy
