Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2018-05-26 12:52 AM,75 F,66 F,73 %,S,8 mph,0 mph,29.88 in,0.0 in,Cloudy
2018-05-26 1:52 AM,74 F,66 F,76 %,S,10 mph,0 mph,29.86 in,0.0 in,Fair
2018-05-26 2:52 AM,74 F,66 F,76 %,S,9 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2018-05-26 3:52 AM,73 F,66 F,79 %,S,9 mph,0 mph,29.85 in,0.0 in,Partly Cloudy
2018-05-26 4:52 AM,73 F,66 F,79 %,S,8 mph,0 mph,29.85 in,0.0 in,Partly Cloudy
2018-05-26 5:52 AM,72 F,67 F,84 %,S,8 mph,0 mph,29.85 in,0.0 in,Partly Cloudy
2018-05-26 6:52 AM,73 F,67 F,81 %,S,8 mph,0 mph,29.86 in,0.0 in,Mostly Cloudy
2018-05-26 7:52 AM,74 F,67 F,79 %,S,8 mph,0 mph,29.87 in,0.0 in,Mostly Cloudy
2018-05-26 8:52 AM,76 F,68 F,76 %,S,7 mph,0 mph,29.88 in,0.0 in,Partly Cloudy
2018-05-26 9:52 AM,79 F,69 F,72 %,S,9 mph,0 mph,29.87 in,0.0 in,Fair
2018-05-26 10:52 AM,82 F,69 F,65 %,S,10 mph,0 mph,29.86 in,0.0 in,Partly Cloudy
2018-05-26 11:52 AM,83 F,70 F,65 %,S,14 mph,0 mph,29.86 in,0.0 in,Partly Cloudy
2018-05-26 12:52 PM,85 F,70 F,61 %,S,13 mph,0 mph,29.84 in,0.0 in,Partly Cloudy
2018-05-26 1:52 PM,86 F,69 F,57 %,S,14 mph,0 mph,29.82 in,0.0 in,Partly Cloudy
2018-05-26 2:52 PM,85 F,68 F,57 %,S,13 mph,0 mph,29.80 in,0.0 in,Mostly Cloudy
2018-05-26 2:54 PM,85 F,69 F,59 %,S,13 mph,0 mph,29.80 in,0.0 in,Thunder
2018-05-26 3:17 PM,84 F,69 F,61 %,SSE,10 mph,0 mph,29.81 in,0.0 in,Thunder
2018-05-26 3:52 PM,85 F,69 F,59 %,SW,10 mph,0 mph,29.81 in,0.0 in,Cloudy
2018-05-26 4:52 PM,84 F,70 F,63 %,S,5 mph,0 mph,29.81 in,0.0 in,Cloudy
2018-05-26 5:52 PM,83 F,70 F,65 %,S,7 mph,0 mph,29.81 in,0.0 in,Cloudy
2018-05-26 6:23 PM,83 F,70 F,65 %,S,8 mph,0 mph,29.82 in,0.0 in,Light Rain
2018-05-26 6:52 PM,84 F,70 F,63 %,SW,8 mph,0 mph,29.82 in,0.0 in,Cloudy
2018-05-26 7:10 PM,84 F,70 F,63 %,SSW,15 mph,22 mph,29.82 in,0.0 in,Cloudy
2018-05-26 7:52 PM,77 F,69 F,76 %,SW,6 mph,0 mph,29.82 in,0.0 in,Light Rain
2018-05-26 8:31 PM,76 F,71 F,85 %,S,10 mph,0 mph,29.83 in,0.0 in,Cloudy
2018-05-26 8:52 PM,76 F,71 F,85 %,SW,12 mph,0 mph,29.85 in,0.0 in,Cloudy
2018-05-26 9:52 PM,76 F,70 F,82 %,SW,7 mph,0 mph,29.87 in,0.0 in,Fair
2018-05-26 10:52 PM,75 F,70 F,84 %,S,7 mph,0 mph,29.87 in,0.0 in,Cloudy
2018-05-26 11:52 PM,74 F,70 F,87 %,S,5 mph,0 mph,29.87 in,0.0 in,Light Rain
